Bootcamp Course,Bootcamp Format,Bootcamp Year,Campus - Timezone,Drop,Drop Reason,how did you hear about us?,Person Account: Gender,Stage Duration,Paid Deposit,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
WD,FT,2018,MEX,0,Not specified,Blog,Male,1106.0,0,0,0,124,55,0.0,11,4
DA,FT,2020,PAR,0,Not specified,Social Media,Male,144.0,0,0,0,75,56,0.0,7,3
UX,FT,2017,MAD,0,Not specified,google,Male,1379.0,0,0,0,169,230,0.0,2,1
WD,FT,2019,SAO,0,Not specified,Social Media,Male,441.0,0,0,0,168,223,0.0,4,2
DA,FT,2020,PAR,0,Not specified,Social Media,Male,306.0,0,0,0,76,68,0.15000000000000002,1,1
WD,FT,2018,BCN,0,Not specified,other,Female,960.0,1,0,1,2,147,0.31000000000000005,4,2
WD,FT,2018,MIA,0,Not specified,Referral,Male,1106.0,1,0,0,124,55,0.0,11,4
WD,FT,2017,MIA,0,Not specified,other,Female,1383.0,0,0,1,221,185,0.030000000000000027,2,1
WD,FT,2019,MIA,0,Not specified,Referral,Male,442.0,0,0,0,166,195,0.0,4,2
UX,FT,2020,BER,0,Not specified,Referral,Female,62.0,1,0,1,279,278,0.28,1,1
UX,FT,2018,MAD,0,Not specified,other,Female,960.0,1,0,0,1,119,0.0,4,2
WD,FT,2018,PAR,0,Not specified,Challenge,Female,1106.0,1,0,1,178,147,0.25,11,4
DA,FT,2020,BER,0,Not specified,Social Media,Male,94.0,0,0,0,144,163,0.0,5,2
UX,FT,2017,MIA,0,Not specified,other,Female,1382.0,1,0,1,32,221,0.08999999999999997,2,1
WD,FT,2019,MIA,0,Not specified,Social Media,Female,448.0,0,0,0,161,195,0.0,4,2
WD,FT,2020,PAR,0,Not specified,switchup,Female,308.0,1,0,1,16,68,0.09999999999999998,1,1
UX,FT,2018,MAD,0,Not specified,other,Female,960.0,1,0,1,0,119,0.22999999999999998,4,2
UX,FT,2018,MEX,0,Not specified,newspaper_or_magazine,Male,1106.0,0,0,0,676,343,0.0,11,4
DA,FT,2020,BER,0,Not specified,Social Media,Male,94.0,0,0,0,0,163,0.0,5,2
WD,FT,2017,MAD,0,Not specified,other,Male,1383.0,0,0,0,196,8,0.0,2,1
DA,FT,2019,AMS,0,Not specified,Social Media,Male,442.0,0,0,0,167,167,0.0,4,2
DA,FT,2020,MEX,0,Not specified,Social Media,Male,285.0,0,0,0,76,68,0.0,1,1
WD,PT,2018,BCN,0,Not specified,other,Female,960.0,0,0,1,165,204,0.19999999999999996,4,2
UX,FT,2020,MIA,0,Not specified,other,Male,137.0,0,0,0,77,33,0.0,7,3
WD,FT,2020,PAR,0,Not specified,Referral,Male,449.0,1,0,1,160,419,0.040000000000000036,4,2
WD,FT,2020,BER,1,Personal matters,Social Media,Female,302.0,1,0,1,292,278,0.09999999999999998,1,1
UX,PT,2018,BCN,0,Not specified,IronhackEvent,Female,960.0,1,0,0,1,104,0.0,4,2
WD,PT,2018,MEX,0,Not specified,Blog,Male,1106.0,0,0,0,124,146,0.0,11,4
WD,FT,2017,BCN,0,Not specified,Referral,Male,1363.0,0,0,0,572,-12,0.0,3,1
UX,FT,2020,PAR,0,Not specified,google,Male,420.0,0,0,0,189,419,0.0,4,2
WD,PT,2020,MIA,0,Not specified,IronhackEvent,Female,309.0,0,0,0,41,-15,0.0,1,1
UX,FT,2018,MAD,0,Not specified,other,Female,960.0,1,0,0,6,197,0.0,4,2
WD,PT,2018,MIA,0,Not specified,Referral,Female,1106.0,0,0,0,92,55,0.0,11,4
WD,FT,2019,BER,0,Not specified,google,Female,454.0,0,0,0,61,35,0.0,9,3
DA,FT,2020,BER,0,Not specified,google,Male,299.0,0,0,0,70,62,0.15000000000000002,1,1
UX,PT,2018,BCN,0,Not specified,other,Female,957.0,1,0,1,0,101,0.19999999999999996,4,2
WD,FT,2018,MEX,0,Not specified,Blog,Male,1106.0,0,0,0,124,343,0.0,11,4
WD,FT,2018,MAD,0,Not specified,Application form,Prefer not to disclose,1140.0,0,0,0,19,280,0.0,10,4
WD,FT,2020,AMS,0,Not specified,Social Media,Male,281.0,0,0,0,68,73,0.0,1,1
UX,PT,2018,BCN,0,Not specified,other,Female,960.0,1,0,0,3,104,0.0,4,2
WD,FT,2018,MEX,0,Not specified,Social Media,Female,1106.0,1,0,1,31,55,0.09999999999999998,11,4
WD,FT,2020,BER,0,Not specified,Social Media,Male,11.0,0,0,0,76,95,0.0,7,3
UX,FT,2017,MAD,0,Not specified,Referral,Female,1289.0,1,0,0,0,191,0.0,5,2
DA,FT,2020,AMS,0,Can not afford the payment,Referral,Male,334.0,0,0,0,21,209,0.0,9,3
DA,FT,2020,PAR,0,Not specified,Social Media,Female,295.0,0,0,0,68,60,0.15000000000000002,1,1
WD,FT,2018,BCN,0,Not specified,other,Female,960.0,1,0,0,7,147,0.0,4,2
WD,FT,2018,MEX,0,Not specified,Social Media,Male,1106.0,0,0,0,124,343,0.0,11,4
WD,FT,2020,BCN,0,Not specified,Referral,Female,77.0,0,0,1,76,74,0.09999999999999998,7,3
WD,FT,2020,LIS,0,Not specified,other,Male,294.0,1,0,0,26,81,0.0,1,1
WD,FT,2018,MAD,0,Not specified,other,Female,960.0,1,0,1,1,118,0.22999999999999998,4,2
WD,FT,2018,MAD,0,Not specified,google,Male,1106.0,0,0,0,282,246,0.0,11,4
UX,FT,2020,BCN,0,Not specified,other,Female,63.0,1,0,1,0,131,0.18999999999999995,6,2
WD,FT,2017,MIA,0,Not specified,Referral,Male,1338.0,0,0,0,365,-128,0.0,10,4
WD,PT,2020,AMS,0,Not specified,google,Male,414.0,1,0,0,43,296,0.0,9,3
WD,FT,2020,PAR,0,Not specified,other,Male,315.0,0,0,0,68,60,0.15000000000000002,1,1
UX,FT,2018,MAD,0,Not specified,other,Female,960.0,1,0,0,2,196,0.0,4,2
WD,FT,2018,BCN,0,Not specified,google,Female,1106.0,1,0,1,14,246,0.15000000000000002,11,4
UX,FT,2020,BCN,0,Not specified,other,Female,63.0,0,0,0,0,131,0.0,6,2
UX,FT,2019,BER,0,Not specified,google,Female,444.0,0,0,0,12,35,0.0,9,3
UX,PT,2020,AMS,0,Not specified,google,Female,251.0,1,0,0,145,159,0.0,1,1
WD,FT,2018,BCN,0,Not specified,Social Media,Male,1121.0,0,0,0,29,261,0.0,11,4
WD,FT,2018,BCN,0,Not specified,Referral,Female,1077.0,0,0,1,55,82,0.15000000000000002,12,4
UX,FT,2017,MAD,0,Not specified,other,Female,1338.0,1,0,0,0,63,0.0,10,4
UX,PT,2020,MAD,0,Not specified,Social Media,Male,312.0,0,0,0,68,96,0.15000000000000002,1,1
UX,FT,2018,MIA,0,Not specified,google,Female,1121.0,0,0,0,82,83,0.0,11,4
WD,PT,2020,RMT-Europe,0,Not specified,Social Media,Male,140.0,0,0,0,76,96,0.0,7,3
WD,FT,2017,MAD,0,Not specified,other,Female,1338.0,1,0,1,31,-51,0.09999999999999998,10,4
UX,FT,2019,BER,0,Not specified,Referral,Female,445.0,1,0,0,11,35,0.0,9,3
DA,FT,2020,MEX,0,Not specified,Social Media,Male,285.0,0,0,0,64,56,0.0,1,1
UX,FT,2018,BCN,0,Not specified,Referral,Male,1077.0,0,0,0,248,33,0.0,12,4
UX,FT,2017,MAD,0,Not specified,other,Female,1338.0,1,0,0,0,12,0.0,10,4
WD,FT,2019,SAO,0,Not specified,google,Female,435.0,0,0,0,21,70,0.0,9,3
DA,FT,2020,MAD,0,Not specified,google,Female,287.0,0,0,0,64,56,0.15000000000000002,1,1
UX,FT,2018,MIA,0,Not specified,IronhackEvent,Male,1121.0,0,0,0,325,70,0.0,11,4
WD,PT,2018,MAD,0,Not specified,Skillied,Male,1077.0,0,0,1,54,118,0.06999999999999995,12,4
DA,FT,2021,BER,0,Not specified,Referral,Female,1.0,1,0,1,31,508,0.28,6,2
WD,FT,2017,MAD,0,Not specified,Social Media,Female,1338.0,1,0,1,61,12,0.09999999999999998,10,4
WD,FT,2020,BER,0,Not specified,google,Male,284.0,0,0,0,64,56,0.15000000000000002,1,1
WD,PT,2018,MIA,0,Not specified,Social Media,Male,1120.0,0,0,1,21,69,0.13,11,4
WD,FT,2018,MEX,0,Not specified,Referral,Male,1076.0,0,0,1,28,38,0.010000000000000009,12,4
WD,FT,2020,RMT-Europe,0,Not specified,quora,Male,11.0,0,0,0,0,14,0.0,8,3
DA,FT,2020,MAD,0,Not specified,google,Male,413.0,0,0,0,13,96,0.0,10,4
WD,FT,2020,MAD,0,Not specified,Social Media,Female,308.0,0,0,0,64,56,0.15000000000000002,1,1
UX,FT,2018,MAD,0,Not specified,google,Male,1076.0,1,0,0,185,32,0.0,12,4
WD,FT,2020,MIA,0,Not specified,google,Male,137.0,0,0,0,76,32,0.0,7,3
DA,FT,2020,PAR,0,Not specified,google,Male,287.0,1,0,0,29,56,0.15000000000000002,1,1
UX,FT,2018,MIA,0,Not specified,google,Female,1120.0,0,0,0,29,69,0.0,11,4
WD,FT,2018,PAR,0,Not specified,google,Male,1076.0,0,0,0,0,216,0.0,12,4
UX,FT,2020,MIA,0,Not specified,Social Media,Male,145.0,0,0,0,76,32,0.0,7,3
WD,FT,2019,MIA,0,Not specified,Social Media,Male,442.0,0,0,0,9,38,0.0,9,3
WD,FT,2020,BER,0,Not specified,Social Media,Male,243.0,0,0,0,64,-21,0.0,1,1
WD,FT,2018,MEX,0,Not specified,Social Media,Male,1120.0,0,0,1,352,69,0.14,11,4
UX,FT,2018,BCN,0,Not specified,Social Media,Female,1076.0,0,0,1,20,32,0.22999999999999998,12,4
WD,FT,2020,RMT-America,0,Not specified,Social Media,Male,134.0,0,0,0,75,146,0.0,7,3
UX,PT,2017,BCN,0,Not specified,other,Female,1320.0,0,0,0,49,138,0.0,4,2
WD,FT,2019,MAD,0,Not specified,google,Male,438.0,0,0,0,14,38,0.0,9,3
UX,FT,2020,BCN,0,Not specified,Referral,Male,316.0,0,0,0,64,21,0.0,1,1
WD,PT,2018,MIA,0,Not specified,Referral,Male,1120.0,0,0,1,138,69,0.06000000000000005,11,4
WD,PT,2018,MAD,0,Not specified,google,Female,1076.0,0,0,1,53,117,0.13,12,4
UX,FT,2019,MAD,0,Not specified,Referral,Female,385.0,0,0,0,67,38,0.0,9,3
UX,FT,2020,BCN,0,Not specified,Referral,Male,316.0,0,0,0,64,21,0.0,1,1
UX,FT,2018,MAD,0,Not specified,Referral,Male,1076.0,0,0,1,89,32,0.15000000000000002,12,4
WD,FT,2020,MIA,0,Not specified,google,Male,127.0,0,0,0,75,31,0.0,7,3
DA,FT,2020,AMS,0,Not specified,google,Female,281.0,0,0,0,62,67,0.0,1,1
UX,PT,2018,BCN,0,Not specified,Referral,Female,1120.0,0,0,0,205,161,0.0,11,4
WD,FT,2018,MEX,0,Not specified,Social Media,Male,1076.0,0,0,0,77,38,0.0,12,4
WD,FT,2017,MAD,0,Not specified,google,Male,1307.0,0,0,0,44,-20,0.0,11,4
WD,FT,2019,PAR,0,Not specified,IronhackEvent,Male,435.0,0,0,0,17,31,0.0,9,3
DA,PT,2020,SAO,0,Not specified,Referral,Male,193.0,1,0,1,121,160,0.19999999999999996,1,1
