Bootcamp Course,Bootcamp Format,how did you hear about us?,Person Account: Gender,Stage Duration,Hours Before First Touchpoint,Paid Deposit,Time to first touchpoint - days,Time First touchpoint to Close date - days,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
DA,FT,google,Female,232.0,19.72,0,1,0,0,0,1,129,0.0,3,1
WD,FT,quora,Female,235.0,14.38,0,31,147,0,1,178,215,0.09999999999999998,1,1
UX,PT,other,Female,237.0,15.31,0,31,147,0,0,178,261,0.0,1,1
UX,FT,Social Media,Female,210.0,19.55,0,1,0,0,0,1,77,0.0,3,1
WD,FT,other,Female,250.0,10.9,0,0,147,0,0,147,184,0.0,2,1
UX,PT,other,Female,237.0,12.54,0,31,147,0,0,178,261,0.0,1,1
WD,FT,other,Female,246.0,3.88,0,0,178,0,1,178,215,0.09999999999999998,1,1
WD,FT,google,Male,168.0,0.32,1,0,12,0,0,12,68,0.0,6,2
DA,FT,Social Media,Male,210.0,18.79,0,29,118,0,0,147,184,0.0,2,1
UX,FT,Social Media,Female,252.0,4.06,0,0,0,0,0,0,76,0.0,3,1
WD,FT,Social Media,Female,250.0,0.16,0,0,0,0,0,0,128,0.0,3,1
WD,PT,Referral,Female,211.0,14.62,0,1,67,0,0,68,-77,0.0,4,2
UX,FT,other,Female,272.0,100.39,0,4,28,0,0,32,24,0.15000000000000002,2,1
DA,FT,Social Media,Female,245.0,41.43,0,2,15,0,0,17,145,0.0,3,1
WD,FT,Referral,Female,269.0,14.9,0,1,17,0,0,18,146,0.0,3,1
WD,PT,Referral,Male,249.0,1448.74,0,60,0,0,0,60,6,0.0,1,1
WD,FT,Referral,Female,292.0,1.67,0,0,47,0,0,47,39,0.15000000000000002,2,1
WD,FT,other,Female,236.0,46.25,0,2,0,0,1,2,130,0.09999999999999998,3,1
UX,FT,google,Female,295.0,0.32,0,0,43,0,0,43,35,0.15000000000000002,2,1
UX,FT,google,Female,228.0,19.53,0,1,0,0,0,1,77,0.0,3,1
WD,FT,other,Female,228.0,19.7,0,1,0,0,1,1,129,0.09999999999999998,3,1
WD,FT,other,Male,245.0,466.83,0,19,41,0,0,60,188,0.0,1,1
WD,FT,other,Male,99.0,2.6,0,0,5,0,0,5,78,0.0,6,2
DA,FT,other,Female,228.0,18.02,0,1,0,0,1,1,129,0.09999999999999998,3,1
WD,FT,other,Female,294.0,338.7,0,14,46,0,0,60,52,0.15000000000000002,1,1
WD,FT,google,Female,265.0,0.87,0,0,28,0,1,28,20,0.24,3,1
UX,FT,other,Female,265.0,0.35,0,0,57,0,0,57,49,0.15000000000000002,2,1
DA,FT,google,Female,284.0,0.23,0,0,47,0,0,47,39,0.15000000000000002,2,1
WD,FT,Social Media,Male,295.0,532.23,0,22,46,0,0,68,60,0.15000000000000002,1,1
UX,FT,google,Female,288.0,16.09,0,1,46,0,0,47,39,0.15000000000000002,2,1
WD,FT,Social Media,Male,293.0,459.87,0,19,46,0,0,65,57,0.15000000000000002,1,1
WD,FT,google,Female,298.0,448.28,0,19,46,0,0,65,57,0.15000000000000002,1,1
WD,FT,other,Female,293.0,648.22,0,27,41,0,0,68,60,0.15000000000000002,1,1
WD,FT,switchup,Female,243.0,24.31,0,1,0,0,1,1,129,0.09999999999999998,3,1
UX,FT,Referral,Female,224.0,0.11,1,0,46,0,1,46,117,0.040000000000000036,2,1
DA,FT,google,Female,252.0,89.88,0,4,0,0,0,4,-4,0.15000000000000002,3,1
DA,PT,google,Male,288.0,0.22,0,0,46,0,0,46,21,0.0,2,1
WD,FT,Social Media,Female,252.0,51.71,0,2,11,0,0,13,141,0.0,3,1
DA,PT,Social Media,Male,279.0,13.8,0,1,35,0,0,36,11,0.0,2,1
DA,FT,other,Male,273.0,7.94,0,0,57,0,0,57,49,0.15000000000000002,2,1
DA,FT,other,Male,274.0,0.11,0,0,33,0,0,33,25,0.15000000000000002,2,1
DA,FT,Referral,Female,274.0,12.79,0,31,57,0,0,88,216,0.0,1,1
DA,FT,google,Female,245.0,9.49,0,0,18,0,0,18,146,0.0,3,1
DA,FT,other,Female,216.0,18.83,0,31,147,0,1,178,215,0.09999999999999998,1,1
UX,FT,Social Media,Male,154.0,0.67,0,0,57,0,0,57,203,0.0,2,1
UX,FT,other,Female,228.0,66.19,0,92,26,0,0,118,103,0.0,3,1
WD,FT,google,Male,246.0,21.37,0,1,15,0,0,16,144,0.0,3,1
DA,PT,Social Media,Female,245.0,149.2,0,6,7,0,0,13,-12,0.0,3,1
DA,PT,google,Male,245.0,1.62,0,0,14,0,0,14,-11,0.0,3,1
UX,FT,google,Female,251.0,109.88,0,5,0,0,0,5,81,0.0,3,1
WD,FT,other,Female,197.0,0.1,0,0,32,0,0,32,160,0.0,2,1
UX,FT,Referral,Female,235.0,19.69,0,1,7,0,0,8,84,0.0,3,1
WD,FT,Referral,Male,216.0,27.01,1,1,223,0,1,224,571,0.06999999999999995,3,1
DA,PT,Social Media,Male,197.0,12.96,0,0,7,0,0,7,-18,0.0,3,1
WD,FT,Referral,Female,235.0,135.98,0,6,0,0,0,6,134,0.0,3,1
WD,FT,Social Media,Male,232.0,3.82,1,0,27,0,0,27,171,0.0,3,1
WD,FT,Referral,Female,232.0,134.32,0,6,0,0,0,6,134,0.0,3,1
DA,FT,google,Male,228.0,87.96,0,4,0,0,0,4,132,0.0,3,1
DA,FT,google,Female,221.0,69.47,0,3,0,0,0,3,131,0.0,3,1
WD,FT,quora,Female,258.0,0.26,0,0,35,0,0,35,163,0.0,2,1
